,plotID,ID,timeDisSite,typeSample,typeCode,timeSample,DiseaseStatus,variety.x,site,block,lat,long,moistPerc,testWeight.lbsPerBu,yield.lbsPerAcre,FgTa.Mean,DON.Mean.R1,fungiDepth,Sdiv
138,23,H23-T4,T4_Ewing,head,H,T4,,505,Ewing,4,38.09645,-88.845017,13.7,52.7,71.59958541,0.146,0.137264947,7484,71
139,23,H23-T5-HI,T5_Hi_Ewing,head,H,T5,Hi,505,Ewing,4,38.09645,-88.845017,13.7,52.7,71.59958541,0.146,0.137264947,13846,43
140,23,H23-T5-LO,T5_Lo_Ewing,head,H,T5,Lo,505,Ewing,4,38.09645,-88.845017,13.7,52.7,71.59958541,0.146,0.137264947,59286,114
141,24,H24-T3,T3_Ewing,head,H,T3,,492,Ewing,4,38.096467,-88.84495,14.1,52.4,71.26772175,0.351,2.449112251,37904,202
142,24,H24-T4,T4_Ewing,head,H,T4,,492,Ewing,4,38.096467,-88.84495,14.1,52.4,71.26772175,0.351,2.449112251,6105,61
143,24,H24-T5-HI,T5_Hi_Ewing,head,H,T5,Hi,492,Ewing,4,38.096467,-88.84495,14.1,52.4,71.26772175,0.351,2.449112251,70547,105
144,24,H24-T5-LO,T5_Lo_Ewing,head,H,T5,Lo,492,Ewing,4,38.096467,-88.84495,14.1,52.4,71.26772175,0.351,2.449112251,17884,64
145,1,L01-T1,T1_Urbana,leaf,L,T1,,495,Urbana,1,40.0811,-88.224217,16.2,54,85.9271635,0.319,0.682907417,3715,11
146,1,L01-T2,T2_Urbana,leaf,L,T2,,495,Urbana,1,40.0811,-88.224217,16.2,54,85.9271635,0.319,0.682907417,1303,9
147,1,L01-T3,T3_Urbana,leaf,L,T3,,495,Urbana,1,40.0811,-88.224217,16.2,54,85.9271635,0.319,0.682907417,633,6
148,1,L01-T4,T4_Urbana,leaf,L,T4,,495,Urbana,1,40.0811,-88.224217,16.2,54,85.9271635,0.319,0.682907417,599,5
149,2,L02-T1,T1_Urbana,leaf,L,T1,,492,Urbana,1,40.081033,-88.224233,16.7,54.5,90.12591455,0.238,0.640025256,2501,20
150,2,L02-T2,T2_Urbana,leaf,L,T2,,492,Urbana,1,40.081033,-88.224233,16.7,54.5,90.12591455,0.238,0.640025256,2208,19
151,2,L02-T3,T3_Urbana,leaf,L,T3,,492,Urbana,1,40.081033,-88.224233,16.7,54.5,90.12591455,0.238,0.640025256,1681,9
152,2,L02-T4,T4_Urbana,leaf,L,T4,,492,Urbana,1,40.081033,-88.224233,16.7,54.5,90.12591455,0.238,0.640025256,1736,12
153,3,L03-T2,T2_Urbana,leaf,L,T2,,505,Urbana,1,40.080967,-88.224217,14.5,54,87.62127144,0.27,0.60323442,575,8
154,3,L03-T3,T3_Urbana,leaf,L,T3,,505,Urbana,1,40.080967,-88.224217,14.5,54,87.62127144,0.27,0.60323442,1490,4
155,4,L04-T1,T1_Urbana,leaf,L,T1,,492,Urbana,2,40.080883,-88.224217,16.8,54.8,84.09715422,0.304,1.36030844,9228,24
156,5,L05-T1,T1_Urbana,leaf,L,T1,,495,Urbana,2,40.0808,-88.2242,15,53.7,86.6417219,0.396,0.8113629,5414,18
157,5,L05-T2,T2_Urbana,leaf,L,T2,,495,Urbana,2,40.0808,-88.2242,15,53.7,86.6417219,0.396,0.8113629,17737,8
158,5,L05-T3,T3_Urbana,leaf,L,T3,,495,Urbana,2,40.0808,-88.2242,15,53.7,86.6417219,0.396,0.8113629,715,3
159,5,L05-T4,T4_Urbana,leaf,L,T4,,495,Urbana,2,40.0808,-88.2242,15,53.7,86.6417219,0.396,0.8113629,876,6
160,6,L06-T3,T3_Urbana,leaf,L,T3,,505,Urbana,2,40.0807,-88.2242,14.8,53.8,89.66943726,0.206,0.926120698,3785,8
161,7,L07-T1,T1_Urbana,leaf,L,T1,,505,Urbana,3,40.080617,-88.224217,14.6,53.8,87.19115163,0.344,1.210931578,6441,31
162,7,L07-T3,T3_Urbana,leaf,L,T3,,505,Urbana,3,40.080617,-88.224217,14.6,53.8,87.19115163,0.344,1.210931578,1605,9
163,7,L07-T4,T4_Urbana,leaf,L,T4,,505,Urbana,3,40.080617,-88.224217,14.6,53.8,87.19115163,0.344,1.210931578,669,5
164,8,L08-T1,T1_Urbana,leaf,L,T1,,492,Urbana,3,40.08055,-88.2242,16.6,54.8,89.09364569,0.271,0.611190664,7386,17
165,8,L08-T2,T2_Urbana,leaf,L,T2,,492,Urbana,3,40.08055,-88.2242,16.6,54.8,89.09364569,0.271,0.611190664,3266,8
166,8,L08-T3,T3_Urbana,leaf,L,T3,,492,Urbana,3,40.08055,-88.2242,16.6,54.8,89.09364569,0.271,0.611190664,8168,15
167,8,L08-T4,T4_Urbana,leaf,L,T4,,492,Urbana,3,40.08055,-88.2242,16.6,54.8,89.09364569,0.271,0.611190664,1165,7
168,9,L09-T1,T1_Urbana,leaf,L,T1,,495,Urbana,3,40.080467,-88.224217,14.6,53.6,91.02877439,0.343,1.839521442,2409,14
169,10,L10-T1,T1_Urbana,leaf,L,T1,,495,Urbana,4,40.080383,-88.224217,14.8,53.7,90.1596781,0.343,0.920444599,8540,12
170,10,L10-T2,T2_Urbana,leaf,L,T2,,495,Urbana,4,40.080383,-88.224217,14.8,53.7,90.1596781,0.343,0.920444599,1738,6
